x_coordinate,y_coordinate,x_scaled,y_scaled
39,3,2.376199107393584,1.152237477571589
42,7,2.5589836541161675,2.6885541143337073
58,3,3.5338345699699456,1.152237477571589
43,3,2.6199118363570286,1.152237477571589
13,6,0.7920663691311947,2.304474955143178
32,5,1.949701831707556,1.920395795952648
60,3,3.6556909344516675,1.152237477571589
13,4,0.7920663691311947,1.5363166367621184
26,0,1.5841327382623893,0.0
27,9,1.6450609205032505,3.4567124327147667
29,6,1.7669172849849728,2.304474955143178
51,3,3.1073372942839175,1.152237477571589
14,0,0.8529945513720558,0.0
50,7,3.0464091120430563,2.6885541143337073
62,4,3.77754729893339,1.5363166367621184
59,1,3.5947627522108068,0.3840791591905296
50,3,3.0464091120430563,1.152237477571589
62,0,3.77754729893339,0.0
65,2,3.9603318456559733,0.7681583183810592
17,5,1.035779098094639,1.920395795952648
25,9,1.5232045560215282,3.4567124327147667
45,5,2.741768200838751,1.920395795952648
55,8,3.351050023247362,3.0726332735242368
48,6,2.924552747561334,2.304474955143178
42,3,2.5589836541161675,1.152237477571589
58,1,3.5338345699699456,0.3840791591905296
68,4,4.143116392378556,1.5363166367621184
58,2,3.5338345699699456,0.7681583183810592
37,8,2.2543427429118617,3.0726332735242368
55,7,3.351050023247362,2.6885541143337073
